Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Patrick van Aanholt,nl NED,"DF,MF",Crystal Palace,eng Premier League,26,1990,24.3,5,33,11,33.3,1.36,0.45,0.15,0.45,0,0,Matches
2,Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,it Serie A,21,1995,5.7,0,2,2,100,0.35,0.35,0,0,0,0,Matches
3,Rolando Aarons,eng ENG,MF,Newcastle United,eng Premier League,21,1995,1.5,0,2,1,50,1.29,0.65,0,0,0,0,Matches
4,Ignazio Abate,it ITA,"DF,MF",Milan,it Serie A,30,1986,11.7,1,4,1,25,0.34,0.09,0.25,1,0,0,Matches
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.5,0,2,1,50,0.36,0.18,0,0,0,0,Matches
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19,1997,0.9,0,0,0,,0,0,,,0,0,Matches
7,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,13.1,0,21,6,28.6,1.61,0.46,0,0,0,0,Matches
8,David Abraham,ar ARG,DF,Eintracht Frankfurt,de Bundesliga,31,1986,25.6,0,7,1,14.3,0.27,0.04,0,0,0,0,Matches
9,Tammy Abraham,eng ENG,FW,Swansea City,eng Premier League,19,1997,19.2,5,42,15,35.7,2.19,0.78,0.12,0.33,0,0,Matches
10,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,9.4,0,5,0,0,0.53,0,0,,0,0,Matches
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38,0,15,2,13.3,0.39,0.05,0,0,0,0,Matches
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,25,1992,10.6,1,9,2,22.2,0.85,0.19,0.11,0.5,0,0,Matches
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,31,1985,4.6,0,10,3,30,2.19,0.66,0,0,0,1,Matches
14,Antonio Adán,es ESP,GK,Real Betis,es La Liga,30,1987,30,0,0,0,,0,0,,,0,0,Matches
15,Aday,es ESP,"MF,DF",Girona,es La Liga,29,1987,20.4,2,33,14,42.4,1.62,0.69,0.03,0.07,1,2,Matches
16,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,32.5,0,6,1,16.7,0.18,0.03,0,0,0,0,Matches
17,Claud Adjapong,it ITA,MF,Sassuolo,it Serie A,19,1998,13.6,0,14,3,21.4,1.03,0.22,0,0,0,0,Matches
18,René Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,0,0,0,,0,0,,,0,0,Matches
19,Yacine Adli,fr FRA,MF,Paris Saint-Germain,fr Ligue 1,17,2000,0.1,0,0,0,,0,0,,,0,0,Matches
20,Ali Adnan Kadhim,iq IRQ,"MF,DF",Udinese,it Serie A,23,1993,18.6,0,12,3,25,0.65,0.16,0,0,0,0,Matches
21,Adrián,es ESP,GK,West Ham United,eng Premier League,30,1987,19,0,0,0,,0,0,,,0,0,Matches
