Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23,2000,13.7,1,0,0,12,26,2,14,8,19,,,0,Matches
2,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22,2000,14.1,3,1,1,15,25,5,22,2,18,,,0,Matches
3,Paxten Aaronson,us USA,MF,Eintracht Frankfurt,de Bundesliga,19,2003,1.1,0,0,0,6,4,0,0,0,2,,,0,Matches
4,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,17,2006,0,0,0,0,0,0,0,0,0,0,,,0,Matches
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35,1987,30.9,5,0,0,26,12,0,3,37,35,,,1,Matches
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23,2000,16.9,2,0,0,34,16,0,3,13,14,,,0,Matches
7,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,20,2002,2,0,0,0,1,1,0,0,0,0,,,0,Matches
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30,1993,31.8,4,0,0,36,36,1,34,61,55,,,0,Matches
9,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,20,2003,11.6,1,0,0,10,13,6,8,3,3,,,0,Matches
10,Abner,br BRA,DF,Real Betis,es La Liga,23,2000,15.6,3,0,0,17,2,2,26,16,18,,,0,Matches
11,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,23,2000,8.4,2,0,0,16,15,8,5,1,8,,,0,Matches
12,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24,1999,25.7,10,0,0,32,23,1,2,25,21,,,1,Matches
13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25,1997,2.7,1,0,0,6,5,2,2,0,1,,,0,Matches
