Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Brenden Aaronson,us USA,"MF,FW",at RB Salzburg,20,2000,7.9,0,0,0,3,13,5,20,2,6,,,0,Matches
2,Malik Abubakari,gh GHA,FW,se Malmö,21,2000,1.3,0,0,0,5,4,0,1,0,0,,,0,Matches
3,Marcos Acuña,ar ARG,DF,es Sevilla,29,1991,4.2,0,0,0,11,6,0,27,6,10,,,0,Matches
4,Tyler Adams,us USA,MF,de RB Leipzig,22,1999,3.3,4,0,0,6,2,0,2,1,4,,,0,Matches
5,Junior Adamu,at AUT,FW,at RB Salzburg,20,2001,2.6,0,0,0,10,2,1,3,1,2,,,0,Matches
6,Antonio Adán,es ESP,GK,pt Sporting CP,34,1987,7,1,0,0,0,1,0,0,0,0,,,0,Matches
7,Edmund Addo,gh GHA,MF,md FC Sheriff Tiraspol,21,2000,5.4,3,0,0,14,4,0,0,12,10,,,0,Matches
8,Karim Adeyemi,de GER,FW,at RB Salzburg,19,2002,6.7,2,0,0,9,18,1,5,2,0,,,0,Matches
9,Michel Aebischer,ch SUI,MF,ch Young Boys,24,1997,5.6,2,0,0,5,4,0,19,9,5,,,0,Matches
10,Sergio Agüero,ar ARG,FW,es Barcelona,33,1988,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
11,Anel Ahmedhodžić,ba BIH,DF,se Malmö,22,1999,4.6,1,1,0,6,0,0,0,13,2,,,0,Matches
12,Manuel Akanji,ch SUI,DF,de Dortmund,26,1995,5,0,0,0,1,2,0,1,9,6,,,0,Matches
13,Nathan Aké,nl NED,DF,eng Manchester City,26,1995,3.6,1,0,0,3,4,2,0,13,2,,,0,Matches
14,David Alaba,at AUT,DF,es Real Madrid,29,1992,11.5,1,0,0,9,1,0,16,11,9,,,0,Matches
15,Jordi Alba,es ESP,"DF,MF",es Barcelona,32,1989,4.1,0,0,0,4,2,1,26,6,2,,,0,Matches
16,Raúl Albiol,es ESP,DF,es Villarreal,35,1985,11.6,1,0,0,9,6,0,1,7,5,,,0,Matches
17,Paco Alcácer,es ESP,FW,es Villarreal,27,1993,0.8,0,0,0,1,0,0,0,0,1,,,0,Matches
18,Thiago Alcántara,es ESP,MF,eng Liverpool,30,1991,6.7,1,0,0,5,7,0,1,17,12,,,0,Matches
19,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,22,1998,8.8,2,0,0,5,6,0,82,10,7,,,0,Matches
20,Alisson,br BRA,GK,eng Liverpool,28,1992,13,0,0,0,0,0,0,0,0,1,,,0,Matches
21,André Almeida,pt POR,"DF,MF",pt Benfica,30,1990,2.6,0,0,0,2,5,0,3,3,5,,,0,Matches
22,Marcos Alonso,es ESP,"MF,DF",eng Chelsea,30,1990,6.1,1,0,0,11,7,0,32,7,6,,,0,Matches
23,Éder Álvarez Balanta,co COL,"MF,DF",be Club Brugge,28,1993,4.5,4,0,0,18,3,0,1,12,8,,,0,Matches
24,Edson Álvarez,mx MEX,MF,nl Ajax,23,1997,6.2,4,0,0,17,6,2,1,5,12,,,0,Matches
25,Mohamed Aly Camara,gn GUI,DF,ch Young Boys,23,1997,3.8,0,0,0,4,0,0,0,7,4,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
26,Benjamin André,fr FRA,MF,fr Lille,30,1990,7,3,0,0,9,10,1,5,8,8,,,0,Matches
27,Oleksandr Andriyevskyi,ua UKR,MF,ua Dynamo Kyiv,27,1994,1.1,0,0,0,0,1,0,0,1,1,,,0,Matches
