Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Antonio Adán,es ESP,GK,pt Sporting CP,34,1987,7,7,630,7,13,1.86,30,17,56.7,3,1,3,2,28.6,0,0,0,0,,Matches
2,Alisson,br BRA,GK,eng Liverpool,28,1992,13,13,"1,170",13,14,1.08,28,14,50,10,1,2,4,30.8,0,0,0,0,,Matches
3,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,26,1994,1,1,90,1,3,3,7,4,57.1,0,1,0,0,0,0,0,0,0,,Matches
4,Giorgos Athanasiadis,gr GRE,GK,md FC Sheriff Tiraspol,28,1993,5,5,450,5,8,1.6,34,27,79.4,2,1,2,1,20,1,1,0,0,0,Matches
5,David von Ballmoos,ch SUI,GK,ch Young Boys,26,1994,3,3,270,3,6,2,15,9,60,1,0,2,0,0,0,0,0,0,,Matches
6,Yassine Bounou,ma MAR,GK,es Sevilla,30,1991,6,6,540,6,5,0.83,17,14,82.4,1,3,2,2,33.3,4,2,0,2,0,Matches
7,Denys Boyko,ua UKR,GK,ua Dynamo Kyiv,33,1988,1,1,90,1,0,0,4,4,100,0,1,0,1,100,0,0,0,0,,Matches
8,Heorhiy Bushchan,ua UKR,GK,ua Dynamo Kyiv,27,1994,5,5,450,5,11,2.2,23,13,56.5,0,0,5,0,0,1,1,0,0,0,Matches
9,Scott Carson,eng ENG,GK,eng Manchester City,35,1985,1,0,18,0.2,0,0,1,1,100,0,0,0,1,,0,0,0,0,,Matches
10,Koen Casteels,be BEL,GK,de Wolfsburg,29,1992,5,5,450,5,8,1.6,25,18,72,1,2,2,1,20,1,1,0,0,0,Matches
11,Dumitru Celeadnic,md MDA,GK,md FC Sheriff Tiraspol,29,1992,1,1,90,1,3,3,8,5,62.5,0,0,1,0,0,0,0,0,0,,Matches
12,Diogo Costa,pt POR,GK,pt Porto,21,1999,6,6,540,6,11,1.83,29,18,62.1,1,2,3,2,33.3,0,0,0,0,,Matches
13,Thibaut Courtois,be BEL,GK,es Real Madrid,29,1992,13,13,"1,230",13.7,14,1.02,71,58,80.3,9,0,4,5,38.5,1,0,1,0,100,Matches
14,Johan Dahlin,se SWE,GK,se Malmö,34,1986,4,4,315,3.5,8,2.29,25,19,76,0,1,3,0,0,3,2,0,1,0,Matches
15,Ersin Destanoğlu,tr TUR,GK,tr Beşiktaş,20,2001,5,5,450,5,17,3.4,34,20,58.8,0,0,5,0,0,3,3,0,0,0,Matches
16,Ismael Diawara,ml MLI,GK,se Malmö,26,1994,3,2,225,2.5,6,2.4,16,12,75,0,0,2,0,0,2,2,0,0,0,Matches
17,Gianluigi Donnarumma,it ITA,GK,fr Paris Saint-Germain,22,1999,5,5,450,5,6,1.2,22,18,77.3,3,1,1,2,40,2,1,1,0,50,Matches
18,Ederson,br BRA,GK,eng Manchester City,27,1993,11,11,"1,002",11.1,14,1.26,27,15,55.6,7,2,2,4,36.4,2,2,0,0,0,Matches
19,Guillaume Faivre,ch SUI,GK,ch Young Boys,34,1987,3,3,270,3,6,2,17,11,64.7,0,2,1,0,0,0,0,0,0,,Matches
20,David de Gea,es ESP,GK,eng Manchester Utd,30,1990,7,7,630,7,9,1.29,29,20,69,3,2,2,1,14.3,0,0,0,0,,Matches
21,Ivo Grbić,hr CRO,GK,fr Lille,25,1996,6,6,540,6,4,0.67,14,12,85.7,3,2,1,3,50,2,2,0,0,0,Matches
22,Péter Gulácsi,hu HUN,GK,de RB Leipzig,31,1990,5,5,450,5,14,2.8,23,11,47.8,1,1,3,0,0,3,2,0,1,0,Matches
23,Mert Günok,tr TUR,GK,tr Beşiktaş,32,1989,1,1,90,1,2,2,6,4,66.7,0,0,1,0,0,0,0,0,0,,Matches
24,Samir Handanović,si SVN,GK,it Inter,37,1984,8,8,720,8,7,0.87,19,12,63.2,4,1,3,3,37.5,0,0,0,0,,Matches
25,Tom Heaton,eng ENG,GK,eng Manchester Utd,35,1986,1,0,23,0.3,0,0,0,0,,0,0,0,0,,0,0,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Dean Henderson,eng ENG,GK,eng Manchester Utd,24,1997,1,1,67,0.7,1,1.34,4,3,75,0,1,0,0,0,0,0,0,0,,Matches
27,Léo Jardim,br BRA,GK,fr Lille,26,1995,2,2,180,2,4,2,8,4,50,0,0,2,0,0,0,0,0,0,,Matches
28,Mikhail Kerzhakov,ru RUS,GK,ru Zenit,34,1987,2,2,180,2,4,2,9,5,55.6,0,2,0,0,0,0,0,0,0,,Matches
29,Gregor Kobel,ch SUI,GK,de Dortmund,23,1997,6,6,540,6,11,1.83,24,13,54.2,3,0,3,2,33.3,1,0,0,1,,Matches
