Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Liel Abada,il ISR,"MF,FW",sct Celtic,20,2001,5,4,217,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Oliver Abildgaard,dk DEN,"DF,MF",sct Celtic,26,1996,2,0,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3,Mohammad Abu Fani,il ISR,MF,il Maccabi Haifa,24,1998,6,4,400,4.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
4,Francesco Acerbi,it ITA,DF,it Inter,34,1988,12,10,921,10.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
5,Marcos Acuña,ar ARG,"DF,MF",es Sevilla,30,1991,4,3,219,2.4,0,1,1,0,0,0,0,0,0,0.41,0.41,0,0.41,Matches
6,Junior Adamu,at AUT,FW,at RB Salzburg,21,2001,6,2,204,2.3,1,1,2,1,0,0,1,0,0.44,0.44,0.88,0.44,0.88,Matches
7,Antonio Adán,es ESP,GK,pt Sporting CP,35,1987,5,5,382,4.2,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
8,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,31,1991,6,6,471,5.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
9,Karim Adeyemi,de GER,MF,de Dortmund,20,2002,6,5,376,4.2,2,0,2,2,0,0,1,0,0.48,0,0.48,0.48,0.48,Matches
10,Amine Adli,ma MAR,MF,de Leverkusen,22,2000,4,1,121,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
11,Manuel Akanji,ch SUI,"DF,MF",eng Manchester City,27,1995,11,10,945,10.5,1,0,1,1,0,0,2,0,0.1,0,0.1,0.1,0.1,Matches
12,Nathan Aké,nl NED,DF,eng Manchester City,27,1995,8,7,608,6.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
13,David Alaba,at AUT,DF,es Real Madrid,30,1992,11,9,711,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
14,Lucas Alario,ar ARG,FW,de Eintracht Frankfurt,29,1992,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Jordi Alba,es ESP,DF,es Barcelona,33,1989,2,2,146,1.6,0,1,1,0,0,0,0,0,0,0.62,0.62,0,0.62,Matches
16,Thiago Alcántara,es ESP,MF,eng Liverpool,31,1991,5,3,306,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
17,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,23,1998,7,7,625,6.9,1,0,1,1,0,0,2,0,0.14,0,0.14,0.14,0.14,Matches
18,Sotiris Alexandropoulos,gr GRE,MF,pt Sporting CP,20,2001,3,0,121,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
19,Faride Alidou,de GER,FW,de Eintracht Frankfurt,21,2001,5,0,73,0.8,1,0,1,1,0,0,0,0,1.23,0,1.23,1.23,1.23,Matches
20,Alisson,br BRA,GK,eng Liverpool,29,1992,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Marcos Alonso,es ESP,DF,es Barcelona,31,1990,5,5,403,4.5,1,0,1,1,0,0,0,0,0.22,0,0.22,0.22,0.22,Matches
22,Éder Álvarez Balanta,co COL,"DF,MF",be Club Brugge,29,1993,4,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
23,Edson Álvarez,mx MEX,MF,nl Ajax,24,1997,6,6,531,5.9,1,0,1,1,0,0,2,0,0.17,0,0.17,0.17,0.17,Matches
24,Julián Álvarez,ar ARG,FW,eng Manchester City,22,2000,10,4,474,5.3,3,2,5,3,0,0,1,0,0.57,0.38,0.95,0.57,0.95,Matches
25,Nadiem Amiri,de GER,MF,de Leverkusen,25,1996,5,1,123,1.4,0,1,1,0,0,0,0,0,0,0.73,0.73,0,0.73,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Robert Andrich,de GER,MF,de Leverkusen,27,1994,5,5,407,4.5,1,0,1,1,0,0,4,0,0.22,0,0.22,0.22,0.22,Matches
27,Peter Ankersen,dk DEN,DF,dk FC Copenhagen,31,1990,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
28,Ofri Arad,il ISR,MF,il Maccabi Haifa,23,1998,2,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
