Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Patrick van Aanholt,nl NED,"DF,MF",nl PSV,32,1990,1.1,0,2,1,50,1.82,0.91,0,0,0,0,Matches
2,Brenden Aaronson,us USA,MF,de Union Berlin,22,2000,1.5,0,3,0,0,1.97,0,0,,0,0,Matches
3,Salis Abdul Samed,gh GHA,MF,fr Lens,23,2000,5.5,0,2,0,0,0.36,0,0,,0,0,Matches
4,Francesco Acerbi,it ITA,DF,it Inter,35,1988,4.7,0,1,0,0,0.21,0,0,,0,0,Matches
5,Elias Achouri,tn TUN,"FW,MF",dk FC Copenhagen,24,1999,6.1,0,10,2,20,1.63,0.33,0,0,0,0,Matches
6,Marcos Acuña,ar ARG,DF,es Sevilla,31,1991,2.2,0,2,0,0,0.91,0,0,,0,0,Matches
7,Karim Adeyemi,de GER,"MF,FW",de Dortmund,21,2002,7.9,2,15,8,53.3,1.91,1.02,0.13,0.25,0,0,Matches
8,Yacine Adli,fr FRA,MF,it Milan,23,2000,1.4,0,2,0,0,1.46,0,0,,0,0,Matches
9,Ruben Aguilar,fr FRA,MF,fr Lens,30,1993,1.1,0,0,0,,0,0,,,0,0,Matches
10,Manuel Akanji,ch SUI,"DF,MF",eng Manchester City,28,1995,7.4,2,5,2,40,0.68,0.27,0.4,1,0,0,Matches
11,Nathan Aké,nl NED,DF,eng Manchester City,28,1995,4.3,0,4,2,50,0.94,0.47,0,0,0,0,Matches
12,Kerem Aktürkoğlu,tr TUR,MF,tr Galatasaray,24,1998,4.9,2,18,6,33.3,3.68,1.23,0.11,0.33,0,0,Matches
13,Al-Musrati,ly LBY,MF,pt Braga,27,1996,3.4,0,4,1,25,1.17,0.29,0,0,0,0,Matches
14,David Alaba,at AUT,DF,es Real Madrid,31,1992,2.8,0,4,0,0,1.44,0,0,,0,0,Matches
15,Luis Alberto,es ESP,MF,it Lazio,30,1992,7.1,0,14,3,21.4,1.96,0.42,0,0,0,0,Matches
16,Toby Alderweireld,be BEL,DF,be Antwerp,34,1989,5,0,10,4,40,2,0.8,0,0,0,1,Matches
17,Mohamed Ali Cho,fr FRA,FW,es Real Sociedad,19,2004,1.5,0,1,1,100,0.69,0.69,0,0,0,0,Matches
18,Miguel Almirón,py PAR,FW,eng Newcastle United,29,1994,4.6,1,12,4,33.3,2.62,0.87,0.08,0.25,0,0,Matches
19,Marcos Alonso,es ESP,DF,es Barcelona,32,1990,1.5,0,1,1,100,0.65,0.65,0,0,0,0,Matches
20,Barış Alper Yılmaz,tr TUR,"MF,FW",tr Galatasaray,23,2000,1.4,0,1,0,0,0.71,0,0,,0,0,Matches
21,Julián Álvarez,ar ARG,MF,eng Manchester City,23,2000,3.1,5,15,10,66.7,4.79,3.19,0.33,0.5,0,0,Matches
22,Mohamed Aly Camara,gn GUI,DF,ch Young Boys,25,1997,5,0,0,0,,0,0,,,0,0,Matches
23,Aurele Amenda,ch SUI,DF,ch Young Boys,20,2003,3.5,0,2,1,50,0.57,0.29,0,0,0,0,Matches
24,Sofyan Amrabat,ma MAR,"MF,DF",eng Manchester Utd,26,1996,3.6,0,1,1,100,0.28,0.28,0,0,0,0,Matches
25,Elliot Anderson,eng ENG,MF,eng Newcastle United,20,2002,0.5,0,0,0,,0,0,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Felipe Anderson,br BRA,FW,it Lazio,30,1993,6,0,9,1,11.1,1.49,0.17,0,0,0,0,Matches
27,Angeliño,es ESP,DF,tr Galatasaray,26,1997,4.7,0,0,0,,0,0,,,0,0,Matches
28,Peter Ankersen,dk DEN,"DF,MF",dk FC Copenhagen,32,1990,5.2,0,4,0,0,0.77,0,0,,0,0,Matches
29,Antony,br BRA,MF,eng Manchester Utd,23,2000,2.6,0,2,0,0,0.78,0,0,,0,0,Matches
30,Jon Aramburu,ve VEN,DF,es Real Sociedad,21,2002,0,0,0,0,,0,0,,,0,0,Matches
31,Ronald Araújo,uy URU,DF,es Barcelona,24,1999,7.3,0,6,1,16.7,0.82,0.14,0,0,0,0,Matches
32,Tomás Araújo,pt POR,DF,pt Benfica,21,2002,1.8,0,0,0,,0,0,,,0,0,Matches
33,Marko Arnautović,at AUT,FW,it Inter,34,1989,2.1,2,7,3,42.9,3.28,1.41,0.29,0.67,0,0,Matches
34,Kepa Arrizabalaga,es ESP,GK,es Real Madrid,28,1994,4,0,0,0,,0,0,,,0,0,Matches
35,Marco Asensio,es ESP,FW,fr Paris Saint-Germain,27,1996,1.4,0,8,3,37.5,5.81,2.18,0,0,0,0,Matches
36,Kristjan Asllani,al ALB,MF,it Inter,21,2002,2.3,0,4,2,50,1.76,0.88,0,0,0,0,Matches
37,Otavio Ataide,br BRA,DF,pt Porto,21,2002,2.3,0,0,0,,0,0,,,0,0,Matches
