Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Patrick van Aanholt,nl NED,"DF,MF",Crystal Palace,eng Premier League,25,1990,7.9,2,10,3,30,1.26,0.38,0.2,0.67,0,0,Matches
2,Patrick van Aanholt,nl NED,"DF,MF",Sunderland,eng Premier League,25,1990,19.8,3,24,10,41.7,1.21,0.5,0.13,0.3,0,0,Matches
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,29,1986,21.4,0,4,2,50,0.19,0.09,0,0,0,0,Matches
4,Yunis Abdelhamid,ma MAR,DF,Dijon,fr Ligue 1,28,1987,14.6,0,8,2,25,0.55,0.14,0,0,0,0,Matches
5,Aymen Abdennour,tn TUN,DF,Valencia,es La Liga,26,1989,9.8,0,2,0,0,0.2,0,0,,0,0,Matches
6,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,23,1992,26.4,3,44,13,29.5,1.67,0.49,0.07,0.23,0,0,Matches
7,David Abraham,ar ARG,DF,Eintracht Frankfurt,de Bundesliga,30,1986,28.7,1,17,3,17.6,0.59,0.1,0.06,0.33,0,0,Matches
8,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,26,1990,14.7,1,9,4,44.4,0.61,0.27,0.11,0.25,0,0,Matches
9,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,28,1988,38,4,18,9,50,0.47,0.24,0.17,0.33,1,1,Matches
10,Geoffrey Acheampong,gh GHA,MF,Bastia,fr Ligue 1,19,1997,0.1,0,1,0,0,7.5,0,0,,0,0,Matches
11,Maxwell Acosty,gh GHA,"MF,FW",Crotone,it Serie A,24,1991,4.2,0,8,3,37.5,1.9,0.71,0,0,0,0,Matches
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,24,1992,12,2,16,4,25,1.34,0.33,0.13,0.5,0,0,Matches
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,30,1985,16.6,1,40,11,27.5,2.41,0.66,0,0,1,1,Matches
14,Antonio Adán,es ESP,GK,Real Betis,es La Liga,29,1987,37,0,0,0,,0,0,,,0,0,Matches
15,Jordan Adéoti,bj BEN,DF,Caen,fr Ligue 1,27,1989,23.6,0,10,1,10,0.42,0.04,0,0,0,0,Matches
16,Claud Adjapong,it ITA,"DF,FW",Sassuolo,it Serie A,18,1998,5.7,1,10,1,10,1.76,0.18,0.1,1,0,0,Matches
17,René Adler,de GER,GK,Hamburger SV,de Bundesliga,31,1985,19,0,1,0,0,0.05,0,0,,0,0,Matches
18,Ali Adnan Kadhim,iq IRQ,"DF,MF",Udinese,it Serie A,22,1993,9.7,0,8,2,25,0.83,0.21,0,0,0,0,Matches
19,Albert Adomah,gh GHA,MF,Middlesbrough,eng Premier League,28,1987,1.4,0,4,0,0,2.95,0,0,,0,0,Matches
20,Adrián,es ESP,GK,West Ham United,eng Premier League,29,1987,16,0,0,0,,0,0,,,0,0,Matches
21,Luiz Adriano,br BRA,FW,Milan,it Serie A,29,1987,1.4,0,3,0,0,2.13,0,0,,0,0,Matches
22,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,35,1981,27.3,16,85,45,52.9,3.11,1.65,0.13,0.24,5,5,Matches
23,Ibrahim Afellay,nl NED,MF,Stoke City,eng Premier League,30,1986,4.3,0,6,1,16.7,1.41,0.23,0,0,0,0,Matches
24,Akram Afif,qa QAT,MF,Sporting Gijón,es La Liga,19,1996,2.6,0,1,1,100,0.38,0.38,0,0,0,0,Matches
25,Benik Afobe,cd COD,FW,Bournemouth,eng Premier League,23,1993,16.2,6,39,18,46.2,2.4,1.11,0.15,0.33,0,1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,28,1988,26.7,20,139,54,38.8,5.21,2.02,0.12,0.3,4,5,Matches
27,Dan Agyei,gh GHA,"FW,MF",Burnley,eng Premier League,19,1997,0.3,0,,0,,,0,,,0,0,Matches
28,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,25,1990,22.6,0,21,5,23.8,0.93,0.22,0,0,0,0,Matches
29,Ola Aina,ng NGA,"DF,MF",Chelsea,eng Premier League,19,1996,0.3,0,1,1,100,3.46,3.46,0,0,0,0,Matches
30,Youssef Aït Bennasser,ma MAR,MF,Nancy,fr Ligue 1,20,1996,21.4,3,24,7,29.2,1.12,0.33,0.13,0.43,0,0,Matches
31,Rachid Aït-Atmane,dz ALG,MF,Sporting Gijón,es La Liga,23,1993,5.5,0,5,0,0,0.91,0,0,,0,0,Matches
32,Arlind Ajeti,al ALB,DF,Torino,it Serie A,22,1993,2.8,1,3,2,66.7,1.08,0.72,0.33,0.5,0,0,Matches
33,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,21,1995,8.2,3,6,4,66.7,0.73,0.49,0.5,0.75,0,0,Matches
34,Nathan Aké,nl NED,DF,Chelsea,eng Premier League,21,1995,1.1,0,1,0,0,0.91,0,0,,0,0,Matches
35,Jean-Daniel Akpa-Akpro,ci CIV,"DF,MF",Toulouse,fr Ligue 1,23,1992,0.8,0,0,0,,0,0,,,0,0,Matches
36,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,24,1992,27.8,4,32,12,37.5,1.15,0.43,0.13,0.33,0,0,Matches
37,Javi Álamo,es ESP,"FW,MF",Osasuna,es La Liga,27,1988,0.1,0,1,0,0,6.92,0,0,,0,0,Matches
38,Jordi Alba,es ESP,DF,Barcelona,es La Liga,27,1989,21.9,1,6,1,16.7,0.27,0.05,0.17,1,0,0,Matches
39,Raúl Albentosa,es ESP,DF,Dep La Coruña,es La Liga,27,1988,25.9,1,10,4,40,0.39,0.15,0.1,0.25,0,0,Matches
40,Luis Alberto,es ESP,"MF,FW",Lazio,it Serie A,23,1992,4.1,1,12,4,33.3,2.96,0.99,0.08,0.25,0,0,Matches
41,Raúl Albiol,es ESP,DF,Napoli,it Serie A,30,1985,25.5,0,10,2,20,0.39,0.08,0,0,0,0,Matches
42,Marc Albrighton,eng ENG,MF,Leicester City,eng Premier League,26,1989,26.8,2,21,7,33.3,0.78,0.26,0.1,0.29,0,0,Matches
43,Paco Alcácer,es ESP,FW,Barcelona,es La Liga,22,1993,9.5,6,25,15,60,2.62,1.57,0.24,0.4,0,0,Matches
44,Paco Alcácer,es ESP,FW,Valencia,es La Liga,22,1993,1,0,2,1,50,2,1,0,0,0,0,Matches
