Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,2000,1,0,0,0,0,2,0,2,1,2,,,0,Matches
2,Max Aarons,eng ENG,DF,Valencia,es La Liga,24,2000,1.3,2,0,0,0,2,0,5,0,4,,,0,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21,2003,0.7,1,0,0,2,0,1,1,1,2,,,0,Matches
4,James Abankwah,ie IRL,DF,Udinese,it Serie A,20,2004,1,1,0,0,4,3,0,0,1,1,,,0,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18,2006,0,0,0,0,0,0,0,0,0,1,,,0,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36,1987,11.5,2,0,0,16,6,0,0,14,11,,,0,Matches
7,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,24,1999,31.6,4,0,0,47,32,3,45,27,32,,,0,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25,1999,9.5,2,0,0,9,10,0,2,15,14,,,0,Matches
9,Ali Abdi,tn TUN,MF,Nice,fr Ligue 1,30,1993,15.5,2,0,0,28,14,5,51,20,27,,,0,Matches
10,Saud Abdulhamid,sa KSA,MF,Roma,it Serie A,25,1999,2.3,0,0,0,2,5,0,7,2,2,,,0,Matches
11,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21,2002,2.9,1,0,0,7,5,0,0,1,5,,,0,Matches
12,Oliver Abildgaard,dk DEN,"DF,MF",Como,it Serie A,28,1996,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches
13,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,2003,30.8,3,0,0,34,55,5,31,6,4,,,0,Matches
14,Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,24,2000,12.1,1,0,0,16,4,0,31,6,20,,,0,Matches
15,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000,21.1,4,0,0,35,25,13,33,6,14,,,0,Matches
16,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25,1999,27.4,13,0,0,47,32,2,5,36,22,,,0,Matches
17,Tammy Abraham,eng ENG,FW,Roma,it Serie A,26,1997,0,0,0,0,0,0,0,0,0,0,,,0,Matches
