Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Adrián,es ESP,GK,Liverpool,eng Premier League,33,1987,3,3,270,3,9,3,19,9,52.6,1,1,1,1,33.3,0,0,0,0,,Matches
2,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,eng Premier League,25,1995,1,0,16,0.2,0,0,2,2,100,0,0,0,0,,0,0,0,0,,Matches
3,Alisson,br BRA,GK,Liverpool,eng Premier League,27,1992,33,33,"2,970",33,32,0.97,110,83,74.5,18,8,7,10,30.3,8,4,1,3,20,Matches
4,Saturnin Allagbé,bj BEN,GK,Dijon,fr Ligue 1,26,1993,12,12,"1,080",12,30,2.5,65,37,55.4,2,2,8,3,25,3,1,1,1,50,Matches
5,Nícolas Andrade,br BRA,GK,Udinese,it Serie A,32,1988,2,2,180,2,5,2.5,6,1,16.7,1,0,1,0,0,0,0,0,0,,Matches
6,Ángel,es ESP,GK,Granada,es La Liga,18,2002,1,1,90,1,2,2,6,6,83.3,0,0,1,0,0,2,1,1,0,50,Matches
7,Alphonse Areola,fr FRA,GK,Fulham,eng Premier League,27,1993,36,36,"3,240",36,48,1.33,158,115,73.4,5,13,18,9,25,6,6,0,0,0,Matches
8,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,25,1994,7,6,585,6.5,8,1.23,23,16,69.6,2,2,2,2,33.3,1,1,0,0,0,Matches
9,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,31,1989,36,36,"3,240",36,41,1.14,113,80,69.9,15,13,8,10,27.8,9,7,1,1,12.5,Matches
10,Emil Audero,id IDN,GK,Sampdoria,it Serie A,23,1997,37,37,"3,330",37,54,1.46,165,120,71.5,14,7,16,6,16.2,9,7,2,0,22.2,Matches
11,Édgar Badía,es ESP,GK,Elche,es La Liga,28,1992,30,30,"2,700",30,46,1.53,131,93,68.7,5,11,14,5,16.7,9,5,3,1,37.5,Matches
12,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,18,2001,1,1,90,1,4,4,4,0,0,0,0,1,0,0,1,0,0,1,,Matches
13,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,30,1990,31,31,"2,790",31,51,1.65,129,86,65.1,10,8,13,6,19.4,9,6,2,1,25,Matches
14,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,27,1993,38,38,"3,420",38,53,1.39,171,125,73.1,15,7,16,9,23.7,7,7,0,0,0,Matches
15,Alessandro Berardi,it ITA,GK,Hellas Verona,it Serie A,29,1991,1,0,28,0.3,0,0,1,1,100,0,0,0,0,,0,0,0,0,,Matches
16,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,23,1997,38,38,"3,420",38,58,1.53,133,83,61.7,12,8,18,9,23.7,8,7,1,0,12.5,Matches
17,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,22,1998,9,7,745,8.3,11,1.33,42,32,76.2,4,2,1,3,42.9,1,1,0,0,0,Matches
18,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,25,1995,19,19,"1,637",18.2,27,1.48,60,34,56.7,7,6,6,4,21.1,1,1,0,0,0,Matches
19,Elias Bördner,de GER,GK,Eintracht Frankfurt,de Bundesliga,18,2002,1,1,90,1,1,1,6,5,83.3,1,0,0,0,0,0,0,0,0,,Matches
20,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,29,1991,33,33,"2,970",33,28,0.85,101,79,76.2,21,5,7,15,45.5,6,4,2,0,33.3,Matches
21,Claudio Bravo,cl CHI,GK,Real Betis,es La Liga,37,1983,20,20,"1,800",20,25,1.25,71,51,70.4,8,8,4,7,35,5,4,1,0,20,Matches
22,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,25,1995,1,1,90,1,1,1,9,8,88.9,1,0,0,0,0,0,0,0,0,,Matches
23,Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,42,1978,8,8,720,8,5,0.62,17,15,82.4,7,1,0,3,37.5,3,2,1,0,33.3,Matches
24,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,29,1990,19,18,"1,665",18.5,30,1.62,88,62,70.5,9,2,7,4,22.2,4,4,0,0,0,Matches
25,Jack Butland,eng ENG,GK,Crystal Palace,eng Premier League,27,1993,1,1,90,1,2,2,5,3,60,1,0,0,0,0,0,0,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,David Button,eng ENG,GK,West Brom,eng Premier League,31,1989,1,1,90,1,2,2,6,4,66.7,1,0,0,0,0,0,0,0,0,,Matches
27,Marcin Bułka,pl POL,GK,Paris Saint-Germain,fr Ligue 1,20,1999,1,1,90,1,1,1,3,2,66.7,0,0,1,0,0,0,0,0,0,,Matches
28,Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,38,1981,1,1,90,1,3,3,3,0,0,0,1,0,0,0,0,0,0,0,,Matches
29,Marc-Aurèle Caillard,fr FRA,GK,Metz,fr Ligue 1,26,1994,5,4,361,4,10,2.49,20,13,65,0,1,3,0,0,3,3,0,0,0,Matches
30,Dani Cárdenas,es ESP,GK,Levante,es La Liga,23,1997,8,8,720,8,11,1.37,39,28,71.8,1,3,4,1,12.5,1,0,0,1,,Matches
31,Scott Carson,eng ENG,GK,Manchester City,eng Premier League,34,1985,1,1,90,1,3,3,2,1,0,1,0,0,0,0,2,1,1,0,50,Matches
32,Kiko Casilla,es ESP,GK,Leeds United,eng Premier League,33,1986,3,3,270,3,2,0.67,10,8,80,2,0,1,1,33.3,0,0,0,0,,Matches
33,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,28,1992,32,32,"2,880",32,33,1.03,102,74,70.6,17,9,6,14,43.8,5,3,2,0,40,Matches
34,Sébastien Cibois,fr FRA,GK,Brest,fr Ligue 1,22,1998,3,3,270,3,4,1.33,10,7,70,1,1,1,1,33.3,1,1,0,0,0,Matches
