Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Patrick van Aanholt,nl NED,"DF,MF",Crystal Palace,eng Premier League,26,1990,28,25,"2,184",24.3,5,1,6,5,0,0,7,0,0.21,0.04,0.25,0.21,0.25,Matches
2,Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,it Serie A,21,1995,11,6,517,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3,Rolando Aarons,eng ENG,MF,Newcastle United,eng Premier League,21,1995,4,1,139,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4,Ignazio Abate,it ITA,"DF,MF",Milan,it Serie A,30,1986,17,11,"1,057",11.7,1,0,1,1,0,0,3,0,0.09,0,0.09,0.09,0.09,Matches
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,8,6,499,5.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19,1997,1,1,77,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
7,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,19,14,"1,176",13.1,0,1,1,0,0,0,2,0,0,0.08,0.08,0,0.08,Matches
8,David Abraham,ar ARG,DF,Eintracht Frankfurt,de Bundesliga,31,1986,27,27,"2,302",25.6,0,2,2,0,0,0,3,0,0,0.08,0.08,0,0.08,Matches
9,Tammy Abraham,eng ENG,FW,Swansea City,eng Premier League,19,1997,31,15,"1,726",19.2,5,1,6,5,0,0,0,0,0.26,0.05,0.31,0.26,0.31,Matches
10,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,12,11,850,9.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38,38,"3,420",38,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,25,1992,22,9,951,10.6,1,0,1,1,0,0,5,1,0.09,0,0.09,0.09,0.09,Matches
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,31,1985,11,5,411,4.6,0,0,0,0,0,1,2,1,0,0,0,0,0,Matches
14,Antonio Adán,es ESP,GK,Real Betis,es La Liga,30,1987,30,30,"2,700",30,0,2,2,0,0,0,4,0,0,0.07,0.07,0,0.07,Matches
15,Aday,es ESP,"MF,DF",Girona,es La Liga,29,1987,31,20,"1,835",20.4,2,0,2,1,1,2,10,0,0.1,0,0.1,0.05,0.05,Matches
16,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,34,32,"2,921",32.5,0,1,1,0,0,0,9,0,0,0.03,0.03,0,0.03,Matches
17,Claud Adjapong,it ITA,MF,Sassuolo,it Serie A,19,1998,16,14,"1,220",13.6,0,0,0,0,0,0,5,1,0,0,0,0,0,Matches
