Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Dani Abalo,es ESP,"FW,MF",bg Ludogorets Razgrad,26,1987,4.8,1,0,,3,,,,,,,,,Matches
2,Aymen Abdennour,tn TUN,DF,fr Monaco,24,1989,6,0,0,,5,,,,,,,,,Matches
3,Anicet Abel,mg MAD,"FW,MF",bg Ludogorets Razgrad,24,1990,1.7,1,0,,6,,,,,,,,,Matches
4,Éric Abidal,fr FRA,DF,gr Olympiacos,34,1979,6,0,0,,1,,,,,,,,,Matches
5,Vincent Aboubakar,cm CMR,FW,pt Porto,22,1992,3,0,0,,1,,,,,,,,,Matches
6,Frank Acheampong,gh GHA,"DF,FW",be Anderlecht,20,1993,5.2,1,0,,5,,,,,,,,,Matches
7,Olcan Adın,tr TUR,MF,tr Galatasaray,28,1985,0.1,0,0,,0,,,,,,,,,Matches
8,Adriano,br BRA,"DF,MF",es Barcelona,29,1984,1.7,1,0,,3,,,,,,,,,Matches
9,Luiz Adriano,br BRA,"FW,MF",ua Shakhtar Donetsk,27,1987,7,3,0,,7,,,,,,,,,Matches
10,Aritz Aduriz,es ESP,FW,es Athletic Club,33,1981,2.8,1,0,,5,,,,,,,,,Matches
11,Ibrahim Afellay,nl NED,"FW,MF",gr Olympiacos,28,1986,3.5,1,0,,1,,,,,,,,,Matches
12,Sergio Agüero,ar ARG,FW,eng Manchester City,26,1988,6.1,2,0,,4,,,,,,,,,Matches
13,Arlind Ajeti,al ALB,DF,ch Basel,20,1993,0.2,0,0,,1,,,,,,,,,Matches
14,Nathan Aké,nl NED,"DF,MF",eng Chelsea,19,1995,0.3,0,0,,0,,,,,,,,,Matches
15,Ager Aketxe,es ESP,MF,es Athletic Club,20,1993,0.2,0,0,,0,,,,,,,,,Matches
16,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,28,1986,6,0,0,,0,,,,,,,,,Matches
17,David Alaba,at AUT,"DF,MF",de Bayern Munich,22,1992,5.9,0,0,,1,,,,,,,,,Matches
18,Jordi Alba,es ESP,"DF,MF",es Barcelona,25,1989,10.7,1,0,,9,,,,,,,,,Matches
19,Thiago Alcántara,es ESP,MF,de Bayern Munich,23,1991,4,1,0,,7,,,,,,,,,Matches
20,Aleksandar Aleksandrov,bg BUL,DF,bg Ludogorets Razgrad,28,1986,2.8,1,0,,3,,,,,,,,,Matches
21,Mihail Aleksandrov,bg BUL,MF,bg Ludogorets Razgrad,25,1989,5.3,0,0,,3,,,,,,,,,Matches
22,Illya Aleksiyevich,by BLR,"FW,MF",by BATE Borisov,23,1991,1.7,0,0,,1,,,,,,,,,Matches
23,Nektarios Alexandrou,cy CYP,"DF,FW",cy APOEL FC,30,1983,1,0,0,,2,,,,,,,,,Matches
24,Naser Aliji,al ALB,"DF,MF",ch Basel,20,1993,0.8,0,0,,1,,,,,,,,,Matches
25,Joe Allen,wls WAL,MF,eng Liverpool,24,1990,4,0,0,,2,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
26,André Almeida,pt POR,"DF,MF",pt Benfica,23,1990,5.2,0,0,,6,,,,,,,,,Matches
27,Stathis Aloneftis,cy CYP,"FW,MF",cy APOEL FC,31,1983,3.1,1,0,,4,,,,,,,,,Matches
28,Xabi Alonso,es ESP,MF,de Bayern Munich,32,1981,9.3,3,1,,14,,,,,,,,,Matches
29,Hamit Altıntop,tr TUR,"DF,MF",tr Galatasaray,31,1982,3.6,1,0,,5,,,,,,,,,Matches
30,Dani Alves,br BRA,"DF,MF",es Barcelona,31,1983,10.7,6,0,,27,,,,,,,,,Matches
31,Edhar Alyakhnovich,by BLR,MF,by BATE Borisov,27,1987,3.2,2,0,,8,,,,,,,,,Matches
32,Lucas Andersen,dk DEN,"FW,MF",nl Ajax,19,1994,5.4,0,0,,3,,,,,,,,,Matches
33,Miguel Ángel Moyá,es ESP,GK,es Atlético Madrid,30,1984,6.3,0,0,,0,,,,,,,,,Matches
34,Brayan Angulo,co COL,"DF,MF",bg Ludogorets Razgrad,24,1989,1,0,0,,1,,,,,,,,,Matches
35,Cristian Ansaldi,ar ARG,"DF,MF",es Atlético Madrid,27,1986,3,2,0,,6,,,,,,,,,Matches
36,Marios Antoniades,cy CYP,DF,cy APOEL FC,24,1990,4.5,2,0,,5,,,,,,,,,Matches
37,Aleksandr Anyukov,ru RUS,DF,ru Zenit,31,1982,4.5,0,0,,4,,,,,,,,,Matches
38,Dennis Aogo,de GER,"DF,MF",de Schalke 04,27,1987,7,0,0,,6,,,,,,,,,Matches
39,Álvaro Arbeloa,es ESP,DF,es Real Madrid,31,1983,6,1,0,,6,,,,,,,,,Matches
40,Arghus,br BRA,DF,si NK Maribor,26,1988,4,1,0,,5,,,,,,,,,Matches
41,John Arne Riise,no NOR,"DF,MF",cy APOEL FC,33,1980,0.5,0,0,,1,,,,,,,,,Matches
42,Andrey Arshavin,ru RUS,"FW,MF",ru Zenit,33,1981,0.1,0,0,,0,,,,,,,,,Matches
43,Mikel Arteta,es ESP,MF,eng Arsenal,32,1982,2.3,1,0,,7,,,,,,,,,Matches
44,Kostakis Artymatas,cy CYP,MF,cy APOEL FC,21,1993,0.2,0,0,,0,,,,,,,,,Matches
45,Kwadwo Asamoah,gh GHA,"DF,MF",it Juventus,25,1988,2.9,0,0,,1,,,,,,,,,Matches
46,Davide Astori,it ITA,DF,it Roma,27,1987,2,0,0,,3,,,,,,,,,Matches
47,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",de Dortmund,25,1989,6.8,0,0,,4,,,,,,,,,Matches
48,Kaan Ayhan,tr TUR,"DF,MF",de Schalke 04,19,1994,2.5,0,0,,1,,,,,,,,,Matches
49,Márcio Azevedo,br BRA,DF,ua Shakhtar Donetsk,28,1986,2,0,0,,1,,,,,,,,,Matches
50,César Azpilicueta,es ESP,"DF,MF",eng Chelsea,24,1989,4.3,1,0,,6,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
51,Holger Badstuber,de GER,DF,de Bayern Munich,25,1989,2.1,2,0,,4,,,,,,,,,Matches
52,Dzmitry Baha,by BLR,MF,by BATE Borisov,24,1990,0.6,0,0,,3,,,,,,,,,Matches
53,Jean-Christophe Bahebeck,fr FRA,"FW,MF",fr Paris Saint-Germain,21,1993,0.4,0,0,,1,,,,,,,,,Matches
54,Tiemoué Bakayoko,fr FRA,MF,fr Monaco,19,1994,2,0,0,,2,,,,,,,,,Matches
55,Gareth Bale,wls WAL,"FW,MF",es Real Madrid,25,1989,9.2,0,0,,3,,,,,,,,,Matches
56,Mikel Balenziaga,es ESP,DF,es Athletic Club,26,1988,6,0,0,,6,,,,,,,,,Matches
57,Mario Balotelli,it ITA,FW,eng Liverpool,23,1990,2.5,1,0,,6,,,,,,,,,Matches
58,Hakan Balta,tr TUR,DF,tr Galatasaray,31,1983,2,1,0,,2,,,,,,,,,Matches
59,Tranquillo Barnetta,ch SUI,MF,de Schalke 04,29,1985,2.7,0,0,,4,,,,,,,,,Matches
60,Marc Bartra,es ESP,DF,es Barcelona,23,1991,5,0,0,,1,,,,,,,,,Matches
61,Andrea Barzagli,it ITA,DF,it Juventus,33,1981,3.3,0,0,,1,,,,,,,,,Matches
62,Bebé,cv CPV,"FW,MF",pt Benfica,24,1990,1.2,0,0,,1,,,,,,,,,Matches
63,Karim Bellarabi,de GER,"FW,MF",de Leverkusen,24,1990,7.9,1,0,,15,,,,,,,,,Matches
64,Héctor Bellerín,es ESP,"DF,MF",eng Arsenal,19,1995,4,1,0,,5,,,,,,,,,Matches
65,Medhi Benatia,ma MAR,DF,de Bayern Munich,27,1987,6.2,2,1,,18,,,,,,,,,Matches
66,Lars Bender,de GER,"DF,MF",de Leverkusen,25,1989,6.5,1,0,,21,,,,,,,,,Matches
67,Sven Bender,de GER,"DF,MF",de Dortmund,25,1989,5.2,0,0,,7,,,,,,,,,Matches
68,Jorge Benítez,py PAR,FW,gr Olympiacos,21,1992,0,0,0,,0,,,,,,,,,Matches
69,Loris Benito,ch SUI,DF,pt Benfica,22,1992,1,0,0,,2,,,,,,,,,Matches
70,Karim Benzema,fr FRA,FW,es Real Madrid,26,1987,7.4,0,0,,5,,,,,,,,,Matches
71,Dimitar Berbatov,bg BUL,FW,fr Monaco,33,1981,5.9,0,0,,12,,,,,,,,,Matches
72,Aleksei Berezutski,ru RUS,DF,ru CSKA Moscow,32,1982,1.5,0,0,,1,,,,,,,,,Matches
73,Vasili Berezutski,ru RUS,DF,ru CSKA Moscow,32,1982,6,1,0,,4,,,,,,,,,Matches
74,Erik Berg,se SWE,"DF,MF",se Malmö,25,1988,4.7,2,1,,4,,,,,,,,,Matches
75,Bernard,br BRA,"FW,MF",ua Shakhtar Donetsk,21,1992,1.7,0,0,,0,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
76,Juan Bernat,es ESP,"DF,FW",de Bayern Munich,21,1993,11.3,3,0,,5,,,,,,,,,Matches
77,Roman Bezjak,si SVN,FW,bg Ludogorets Razgrad,25,1989,3.2,0,0,,7,,,,,,,,,Matches
78,Jérôme Boateng,de GER,DF,de Bayern Munich,25,1988,11,2,0,,11,,,,,,,,,Matches
79,Kevin-Prince Boateng,gh GHA,"FW,MF",de Schalke 04,27,1987,4.4,3,0,,10,,,,,,,,,Matches
80,Sebastian Boenisch,pl POL,DF,de Leverkusen,27,1987,2.3,2,0,,4,,,,,,,,,Matches
81,Damjan Bohar,si SVN,MF,si NK Maribor,22,1991,3.5,0,0,,2,,,,,,,,,Matches
82,Nicolai Boilesen,dk DEN,DF,nl Ajax,22,1992,3.1,0,0,,1,,,,,,,,,Matches
83,Sinan Bolat,tr TUR,GK,tr Galatasaray,25,1988,1,0,0,,0,,,,,,,,,Matches
84,Leonardo Bonucci,it ITA,DF,it Juventus,27,1987,13,2,0,,14,,,,,,,,,Matches
85,Wilfried Bony,ci CIV,FW,eng Manchester City,25,1988,0.4,0,0,,1,,,,,,,,,Matches
86,Fabio Borini,it ITA,"FW,MF",eng Liverpool,23,1991,1.3,0,0,,1,,,,,,,,,Matches
87,Milan Borjan,ca CAN,GK,bg Ludogorets Razgrad,26,1987,1,1,0,,0,,,,,,,,,Matches
88,Alberto Botía,es ESP,DF,gr Olympiacos,25,1989,6,2,0,,11,,,,,,,,,Matches
89,Andreas Bouchalakis,gr GRE,MF,gr Olympiacos,21,1993,0.2,0,0,,0,,,,,,,,,Matches
90,Yacine Brahimi,dz ALG,"FW,MF",pt Porto,24,1990,7.6,0,0,,9,,,,,,,,,Matches
91,Julian Brandt,de GER,"FW,MF",de Leverkusen,18,1996,1.3,0,0,,1,,,,,,,,,Matches
92,Bruma,pt POR,"FW,MF",tr Galatasaray,19,1994,2.3,1,0,,1,,,,,,,,,Matches
93,Gianluigi Buffon,it ITA,GK,it Juventus,36,1978,13,0,0,,0,,,,,,,,,Matches
94,Umut Bulut,tr TUR,"FW,MF",tr Galatasaray,31,1983,2.5,0,0,,2,,,,,,,,,Matches
95,Sergio Busquets,es ESP,MF,es Barcelona,26,1988,8.8,0,0,,8,,,,,,,,,Matches
96,Jakub Błaszczykowski,pl POL,MF,de Dortmund,28,1985,0.5,0,0,,1,,,,,,,,,Matches
97,Yohan Cabaye,fr FRA,MF,fr Paris Saint-Germain,28,1986,2.2,1,0,,6,,,,,,,,,Matches
98,Martín Cáceres,uy URU,DF,it Juventus,27,1987,1.9,0,0,,1,,,,,,,,,Matches
99,Gary Cahill,eng ENG,DF,eng Chelsea,28,1985,6.3,0,0,,6,,,,,,,,,Matches
100,Júnior Caiçara,br BRA,DF,bg Ludogorets Razgrad,25,1989,6,1,0,,5,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
101,Hakan Çalhanoğlu,tr TUR,"FW,MF",de Leverkusen,20,1994,8.2,1,0,,10,,,,,,,,,Matches
102,Davide Callà,ch SUI,MF,ch Basel,29,1984,2.1,0,0,,6,,,,,,,,,Matches
103,Tarık Çamdal,tr TUR,"DF,MF",tr Galatasaray,23,1991,3.6,2,0,,3,,,,,,,,,Matches
104,Joel Campbell,cr CRC,"FW,MF",eng Arsenal,22,1992,1.2,0,0,,2,,,,,,,,,Matches
105,Emre Can,de GER,"DF,MF",eng Liverpool,20,1994,1.1,0,0,,2,,,,,,,,,Matches
106,Cani,es ESP,MF,es Atlético Madrid,32,1981,0.5,0,0,,0,,,,,,,,,Matches
107,Diego Capel,es ESP,MF,pt Sporting CP,26,1988,0.8,0,0,,0,,,,,,,,,Matches
108,Carlão,br BRA,"DF,MF",cy APOEL FC,28,1986,6,1,0,,6,,,,,,,,,Matches
109,Yannick Carrasco,be BEL,"DF,FW",fr Monaco,20,1993,6.9,2,0,,12,,,,,,,,,Matches
110,André Carrillo,pe PER,"FW,MF",pt Sporting CP,23,1991,4.1,0,0,,5,,,,,,,,,Matches
111,Dani Carvajal,es ESP,DF,es Real Madrid,22,1992,4.9,1,0,,8,,,,,,,,,Matches
112,Matheus Carvalho,br BRA,FW,fr Monaco,22,1992,0.1,0,0,,0,,,,,,,,,Matches
113,Ricardo Carvalho,pt POR,DF,fr Monaco,36,1978,6,4,0,,9,,,,,,,,,Matches
114,William Carvalho,pt POR,MF,pt Sporting CP,22,1992,5.7,3,0,,10,,,,,,,,,Matches
115,Casemiro,br BRA,MF,pt Porto,22,1992,7.8,2,0,,25,,,,,,,,,Matches
116,Iker Casillas,es ESP,GK,es Real Madrid,33,1981,10,0,0,,0,,,,,,,,,Matches
117,Gonzalo Castro,de GER,"DF,MF",de Leverkusen,27,1987,5.3,1,0,,8,,,,,,,,,Matches
118,Aleksandrs Cauņa,lv LVA,"FW,MF",ru CSKA Moscow,26,1988,0.7,0,0,,2,,,,,,,,,Matches
119,Edinson Cavani,uy URU,"FW,MF",fr Paris Saint-Germain,27,1987,10.2,1,0,,10,,,,,,,,,Matches
120,Santi Cazorla,es ESP,MF,eng Arsenal,29,1984,6.2,0,0,,8,,,,,,,,,Matches
121,Petr Čech,cz CZE,GK,eng Chelsea,32,1982,3,0,0,,0,,,,,,,,,Matches
122,Alessio Cerci,it ITA,"FW,MF",es Atlético Madrid,27,1987,0.4,0,0,,0,,,,,,,,,Matches
123,César,br BRA,DF,pt Benfica,21,1992,1.1,0,0,,0,,,,,,,,,Matches
124,Júlio César,br BRA,GK,pt Benfica,34,1979,3,0,0,,0,,,,,,,,,Matches
125,Calum Chambers,eng ENG,"DF,MF",eng Arsenal,19,1995,5,0,0,,3,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
126,Clément Chantôme,fr FRA,MF,fr Paris Saint-Germain,26,1987,0.2,0,0,,1,,,,,,,,,Matches
127,Constantinos Charalambidis,cy CYP,MF,cy APOEL FC,33,1981,0.1,0,0,,0,,,,,,,,,Matches
128,Aurélien Chedjou,cm CMR,DF,tr Galatasaray,29,1985,5,1,0,,4,,,,,,,,,Matches
129,Sergei Chernik,by BLR,GK,by BATE Borisov,26,1988,5,1,0,,0,,,,,,,,,Matches
130,Giorgio Chiellini,it ITA,DF,it Juventus,29,1984,12,3,0,,9,,,,,,,,,Matches
131,Paweł Cibicki,se SWE,"FW,MF",se Malmö,20,1994,0.5,0,0,,2,,,,,,,,,Matches
132,Jasper Cillessen,nl NED,GK,nl Ajax,25,1989,6,1,0,,0,,,,,,,,,Matches
133,Christian Clemens,de GER,"FW,MF",de Schalke 04,22,1991,0.5,0,0,,0,,,,,,,,,Matches
134,Gaël Clichy,fr FRA,DF,eng Manchester City,29,1985,5.8,3,1,,12,,,,,,,,,Matches
135,Fábio Coentrão,pt POR,DF,es Real Madrid,26,1988,3.3,2,0,,2,,,,,,,,,Matches
136,Emre Çolak,tr TUR,MF,tr Galatasaray,23,1991,1.1,0,0,,1,,,,,,,,,Matches
137,Ashley Cole,eng ENG,DF,it Roma,33,1980,2,0,0,,2,,,,,,,,,Matches
138,Kingsley Coman,fr FRA,"FW,MF",it Juventus,18,1996,0,0,0,,0,,,,,,,,,Matches
139,Ibrahima Conté,gn GUI,"FW,MF",be Anderlecht,23,1991,5.2,1,0,,10,,,,,,,,,Matches
140,Francis Coquelin,fr FRA,"DF,MF",eng Arsenal,23,1991,1.5,1,0,,3,,,,,,,,,Matches
141,Diego Costa,es ESP,FW,eng Chelsea,25,1988,5.6,1,0,,8,,,,,,,,,Matches
142,Douglas Costa,br BRA,"FW,MF",ua Shakhtar Donetsk,23,1990,6.6,2,0,,11,,,,,,,,,Matches
143,Thibaut Courtois,be BEL,GK,eng Chelsea,22,1992,5.3,0,0,,0,,,,,,,,,Matches
144,Philippe Coutinho,br BRA,"FW,MF",eng Liverpool,22,1992,2.6,0,0,,1,,,,,,,,,Matches
145,Domenico Criscito,it ITA,"DF,MF",ru Zenit,27,1986,6,2,0,,6,,,,,,,,,Matches
146,Bryan Cristante,it ITA,"DF,MF",pt Benfica,19,1995,1.6,1,0,,3,,,,,,,,,Matches
147,Juan Cuadrado,co COL,"DF,FW",eng Chelsea,26,1988,0.1,0,0,,1,,,,,,,,,Matches
148,Cyriac,ci CIV,FW,be Anderlecht,23,1990,1.8,0,0,,4,,,,,,,,,Matches
149,Danilo,br BRA,"DF,MF",pt Porto,23,1991,7.2,3,0,,4,,,,,,,,,Matches
150,Danny,pt POR,MF,ru Zenit,30,1983,5.9,1,0,,4,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
151,Dante,br BRA,DF,de Bayern Munich,30,1983,4,1,0,,8,,,,,,,,,Matches
152,Daniele De Rossi,it ITA,"DF,MF",it Roma,31,1983,3,0,0,,2,,,,,,,,,Matches
153,Morgan De Sanctis,it ITA,GK,it Roma,37,1977,4,0,0,,0,,,,,,,,,Matches
154,Tomas De Vincenti,ar ARG,MF,cy APOEL FC,25,1989,1.8,0,0,,1,,,,,,,,,Matches
155,Mathieu Debuchy,fr FRA,DF,eng Arsenal,29,1985,0.9,1,0,,2,,,,,,,,,Matches
156,Steven Defour,be BEL,MF,be Anderlecht,26,1988,3.5,2,0,,5,,,,,,,,,Matches
157,Philipp Degen,ch SUI,"DF,FW",ch Basel,31,1983,0.8,1,0,,1,,,,,,,,,Matches
158,Martín Demichelis,ar ARG,"DF,MF",eng Manchester City,33,1980,6,2,0,,6,,,,,,,,,Matches
159,Leander Dendoncker,be BEL,"DF,MF",be Anderlecht,19,1995,1.6,0,0,,1,,,,,,,,,Matches
160,Stefano Denswil,sr SUR,DF,nl Ajax,21,1993,1.1,0,0,,1,,,,,,,,,Matches
161,Mike van der Hoorn,nl NED,DF,nl Ajax,21,1992,1,0,0,,0,,,,,,,,,Matches
162,Gregory van der Wiel,nl NED,DF,fr Paris Saint-Germain,26,1988,9,2,0,,9,,,,,,,,,Matches
163,Derley,br BRA,FW,pt Benfica,26,1987,3.2,0,0,,3,,,,,,,,,Matches
164,Olivier Deschacht,be BEL,DF,be Anderlecht,33,1981,6,1,0,,4,,,,,,,,,Matches
165,Mattia Destro,it ITA,FW,it Roma,23,1991,1.2,0,0,,1,,,,,,,,,Matches
166,Dimitris Diamantakos,gr GRE,FW,gr Olympiacos,21,1993,0.2,0,0,,3,,,,,,,,,Matches
167,Marcelo Díaz,cl CHI,MF,ch Basel,27,1986,0.3,0,0,,1,,,,,,,,,Matches
168,Serey Die,ci CIV,MF,ch Basel,29,1984,1.2,0,1,,5,,,,,,,,,Matches
169,Lucas Digne,fr FRA,"DF,MF",fr Paris Saint-Germain,21,1993,0,0,0,,0,,,,,,,,,Matches
170,Nabil Dirar,ma MAR,"DF,MF",fr Monaco,28,1986,6.7,1,0,,20,,,,,,,,,Matches
171,Rafik Djebbour,dz ALG,FW,cy APOEL FC,30,1984,1.4,0,0,,7,,,,,,,,,Matches
172,Chori Domínguez,ar ARG,"FW,MF",gr Olympiacos,33,1981,4.5,1,0,,6,,,,,,,,,Matches
173,Giulio Donati,it ITA,DF,de Leverkusen,24,1990,3.4,1,0,,5,,,,,,,,,Matches
174,Seydou Doumbia,ci CIV,FW,ru CSKA Moscow,26,1987,4.5,0,0,,4,,,,,,,,,Matches
175,Julian Draxler,de GER,"FW,MF",de Schalke 04,20,1993,2.9,0,0,,1,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
176,Josip Drmić,ch SUI,FW,de Leverkusen,21,1992,3.5,0,0,,8,,,,,,,,,Matches
177,Didier Drogba,ci CIV,FW,eng Chelsea,36,1978,3.2,0,0,,4,,,,,,,,,Matches
178,Erik Durm,de GER,"DF,FW",de Dortmund,22,1992,3.2,0,0,,1,,,,,,,,,Matches
179,Jimmy Durmaz,se SWE,MF,gr Olympiacos,25,1989,0.2,0,0,,1,,,,,,,,,Matches
180,Svetoslav Dyakov,bg BUL,MF,bg Ludogorets Razgrad,30,1984,5.9,1,0,,3,,,,,,,,,Matches
181,Alan Dzagoev,ru RUS,MF,ru CSKA Moscow,24,1990,3,2,0,,7,,,,,,,,,Matches
