Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Tammy Abraham,eng ENG,FW,eng Chelsea,21,1997,6.3,3,21,9,42.9,3.34,1.43,0.14,0.33,0,0,Matches
2,Tyler Adams,us USA,MF,de RB Leipzig,20,1999,0.9,1,2,1,50,2.2,1.1,0.5,1,0,0,Matches
3,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,28,1991,5.7,1,2,1,50,0.35,0.17,0.5,1,0,0,Matches
4,Adrián,es ESP,GK,eng Liverpool,32,1987,3.3,0,0,0,,0,0,,,0,0,Matches
5,Sergio Agüero,ar ARG,FW,eng Manchester City,31,1988,2.2,2,9,6,66.7,4.13,2.76,0.11,0.17,1,1,Matches
6,Manuel Akanji,ch SUI,DF,de Dortmund,24,1995,5.8,0,3,0,0,0.52,0,0,,0,0,Matches
7,David Alaba,at AUT,DF,de Bayern Munich,27,1992,7.5,0,5,1,20,0.67,0.13,0,0,0,0,Matches
8,Lucas Alario,ar ARG,FW,de Leverkusen,26,1992,2.4,0,9,2,22.2,3.79,0.84,0,0,0,0,Matches
9,Jordi Alba,es ESP,DF,es Barcelona,30,1989,3.9,0,1,0,0,0.25,0,0,,0,0,Matches
10,Paco Alcácer,es ESP,FW,de Dortmund,25,1993,1.3,0,4,0,0,3.19,0,0,,0,0,Matches
11,Thiago Alcántara,es ESP,MF,de Bayern Munich,28,1991,9.1,0,7,1,14.3,0.77,0.11,0,0,0,0,Matches
12,Toby Alderweireld,be BEL,DF,eng Tottenham Hotspur,30,1989,6,0,0,0,,0,0,,,0,0,Matches
13,Carles Aleñá,es ESP,MF,es Barcelona,21,1998,1,0,0,0,,0,0,,,0,0,Matches
14,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,20,1998,6.5,0,6,1,16.7,0.93,0.15,0,0,0,0,Matches
15,Alisson,br BRA,GK,eng Liverpool,26,1992,5,0,0,0,,0,0,,,0,0,Matches
16,Allan,br BRA,MF,it Napoli,28,1991,4.9,0,2,0,0,0.4,0,0,,0,0,Matches
17,Dele Alli,eng ENG,"MF,FW",eng Tottenham Hotspur,23,1996,5.7,1,7,4,57.1,1.22,0.7,0.14,0.25,0,0,Matches
18,André Almeida,pt POR,DF,pt Benfica,28,1990,1,0,0,0,,0,0,,,0,0,Matches
19,Marcos Alonso,es ESP,"MF,DF",eng Chelsea,28,1990,4.4,0,12,5,41.7,2.72,1.13,0,0,0,0,Matches
20,Éder Álvarez Balanta,co COL,MF,be Club Brugge,26,1993,3.2,0,2,0,0,0.63,0,0,,0,0,Matches
21,Edson Álvarez,mx MEX,MF,nl Ajax,21,1997,4.2,1,6,2,33.3,1.43,0.48,0.17,0.5,0,0,Matches
22,Nadiem Amiri,de GER,MF,de Leverkusen,22,1996,2.6,0,7,2,28.6,2.65,0.76,0,0,0,0,Matches
23,Ethan Ampadu,wls WAL,DF,de RB Leipzig,18,2000,2,0,0,0,,0,0,,,0,0,Matches
24,Joachim Andersen,dk DEN,DF,fr Lyon,23,1996,4.4,1,1,1,100,0.23,0.23,1,1,0,0,Matches
25,Florin Andone,ro ROU,FW,tr Galatasaray,26,1993,1.8,0,8,2,25,4.44,1.11,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
