Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Alisson,br BRA,GK,eng Liverpool,31,1992,6,6,570,6.3,3,0.47,27,24,88.9,5,0,1,3,50,0,0,0,0,,Matches
2,David von Ballmoos,ch SUI,GK,ch Young Boys,29,1994,4,4,360,4,15,3.75,27,13,44.4,0,0,4,0,0,1,0,1,0,100,Matches
3,Walter Benítez,ar ARG,GK,nl PSV,31,1993,11,11,"1,020",11.3,21,1.85,58,38,65.5,5,3,3,1,9.1,1,1,0,0,0,Matches
4,Justin Bijlow,nl NED,GK,nl Feyenoord,26,1998,2,2,125,1.4,1,0.72,9,7,88.9,1,0,1,1,50,0,0,0,0,,Matches
5,Marco Bizot,nl NED,GK,fr Brest,33,1991,9,9,810,9,14,1.56,41,30,73.2,4,1,4,2,22.2,3,3,0,0,0,Matches
6,Janis Blaswich,de GER,GK,at RB Salzburg,33,1991,5,4,382,4.2,14,3.3,25,11,44,1,0,3,0,0,0,0,0,0,,Matches
7,Fabian Bredlow,de GER,GK,de Stuttgart,29,1995,1,1,90,1,4,4,6,2,33.3,0,0,1,0,0,0,0,0,0,,Matches
8,Marco Carnesecchi,it ITA,GK,it Atalanta,24,2000,9,9,810,9,9,1,23,14,60.9,4,3,2,5,55.6,0,0,0,0,,Matches
9,Lucas Chevalier,fr FRA,GK,fr Lille,22,2001,10,10,900,10,13,1.3,43,32,74.4,5,2,3,1,10,2,2,0,0,0,Matches
10,Grégoire Coudert,fr FRA,GK,fr Brest,25,1999,1,1,90,1,7,7,9,2,22.2,0,0,1,0,0,0,0,0,0,,Matches
11,Thibaut Courtois,be BEL,GK,es Real Madrid,32,1992,12,12,"1,110",12.3,18,1.46,66,51,75.8,8,0,4,1,8.3,4,2,1,1,33.3,Matches
12,Michele Di Gregorio,it ITA,GK,it Juventus,27,1997,8,8,718,8,7,0.88,27,20,74.1,4,3,1,3,37.5,0,0,0,0,,Matches
13,Gianluigi Donnarumma,it ITA,GK,fr Paris Saint-Germain,25,1999,15,15,"1,380",15.3,14,0.91,50,35,72,10,1,4,6,40,0,0,0,0,,Matches
