Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Tammy Abraham,eng ENG,FW,it Milan,26,1997,9,2,301,3.3,2,1,3,2,0,0,0,0,0.6,0.3,0.9,0.6,0.9,Matches
2,Francesco Acerbi,it ITA,DF,it Inter,36,1988,9,8,770,8.6,1,1,2,1,0,0,2,0,0.12,0.12,0.23,0.12,0.23,Matches
3,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,33,1991,6,4,287,3.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
4,Karim Adeyemi,de GER,MF,de Dortmund,22,2002,10,9,685,7.6,5,1,6,5,0,0,2,0,0.66,0.13,0.79,0.66,0.79,Matches
5,Amine Adli,ma MAR,"MF,FW",de Leverkusen,24,2000,5,2,210,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Vasilije Adžić,me MNE,MF,it Juventus,18,2006,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
7,Michel Aebischer,ch SUI,MF,it Bologna,27,1997,1,0,29,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
8,Emanuel Aiwum,at AUT,DF,at Sturm Graz,23,2000,6,6,540,6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
9,Ludovic Ajorque,fr FRA,FW,fr Brest,30,1994,8,8,640,7.1,0,2,2,0,0,0,3,0,0,0.28,0.28,0,0.28,Matches
10,Manuel Akanji,ch SUI,"DF,MF",eng Manchester City,29,1995,8,8,644,7.2,0,1,1,0,0,0,0,0,0,0.14,0.14,0,0.14,Matches
11,Nathan Aké,nl NED,DF,eng Manchester City,29,1995,4,3,284,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
12,Maghnes Akliouche,fr FRA,MF,fr Monaco,22,2002,10,10,805,8.9,2,2,4,2,0,0,1,0,0.22,0.22,0.45,0.22,0.45,Matches
13,Chuba Akpom,eng ENG,"FW,MF",fr Lille,28,1995,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
14,Kerem Aktürkoğlu,tr TUR,FW,pt Benfica,25,1998,12,11,847,9.4,4,0,4,4,0,0,1,0,0.43,0,0.43,0.43,0.43,Matches
15,Al-Musrati,ly LBY,MF,fr Monaco,28,1996,1,1,51,0.6,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
16,David Alaba,at AUT,DF,es Real Madrid,32,1992,5,2,175,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
17,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,25,1998,8,7,573,6.4,0,1,1,0,0,0,0,0,0,0.16,0.16,0,0.16,Matches
18,Alisson,br BRA,GK,eng Liverpool,31,1992,6,6,570,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
19,Julián Álvarez,ar ARG,"FW,MF",es Atlético Madrid,24,2000,10,10,784,8.7,7,1,8,7,0,0,0,0,0.8,0.11,0.92,0.8,0.92,Matches
20,Mohamed Aly Camara,gn GUI,DF,ch Young Boys,26,1997,6,6,495,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
21,Jordan Amavi,fr FRA,DF,fr Brest,30,1994,1,1,83,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
22,Zeki Amdouni,ch SUI,FW,pt Benfica,23,2000,11,1,249,2.8,1,0,1,1,0,0,2,0,0.36,0,0.36,0.36,0.36,Matches
23,Benjamin André,fr FRA,MF,fr Lille,33,1990,9,9,810,9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
24,Robert Andrich,de GER,MF,de Leverkusen,29,1994,7,2,276,3.1,0,1,1,0,0,0,2,0,0,0.33,0.33,0,0.33,Matches
25,Lucas Anjos,pt POR,FW,pt Sporting CP,20,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Waldemar Anton,de GER,DF,de Dortmund,28,1996,10,6,593,6.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
27,Maximiliano Araújo,uy URU,"MF,DF",pt Sporting CP,24,2000,10,7,624,6.9,1,0,1,1,0,0,2,0,0.14,0,0.14,0.14,0.14,Matches
28,Ronald Araújo,uy URU,DF,es Barcelona,25,1999,8,4,523,5.8,1,0,1,1,0,0,0,0,0.17,0,0.17,0.17,0.17,Matches
29,Tomás Araújo,pt POR,DF,pt Benfica,22,2002,11,11,924,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Marko Arnautović,at AUT,FW,it Inter,35,1989,7,2,206,2.3,1,0,1,1,0,1,2,0,0.44,0,0.44,0.44,0.44,Matches
31,Arthur,br BRA,DF,de Leverkusen,21,2003,5,1,110,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
32,Raúl Asencio,es ESP,DF,es Real Madrid,21,2003,10,8,749,8.3,0,1,1,0,0,0,2,0,0,0.12,0.12,0,0.12,Matches
33,Marco Asensio,es ESP,"FW,MF",eng Aston Villa,28,1996,4,0,129,1.4,3,0,3,2,1,1,0,0,2.09,0,2.09,1.4,1.4,Matches
34,Marco Asensio,es ESP,FW,fr Paris Saint-Germain,28,1996,4,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
35,Kristjan Asllani,al ALB,MF,it Inter,22,2002,8,3,357,4,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
36,Yaser Asprilla,co COL,MF,es Girona,20,2003,6,2,245,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
37,Zachary Athekame,ch SUI,DF,ch Young Boys,19,2004,8,5,494,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
38,Carlos Augusto,br BRA,MF,it Inter,25,1999,13,6,664,7.4,0,2,2,0,0,0,2,0,0,0.27,0.27,0,0.27,Matches
39,Yann Aurel Bisseck,de GER,DF,it Inter,23,2000,13,7,701,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
40,Fredrik Aursnes,no NOR,MF,pt Benfica,28,1995,12,11,989,11,0,1,1,0,0,0,2,0,0,0.09,0.09,0,0.09,Matches
41,Irakli Azarov,ge GEO,DF,ua Shakhtar Donetsk,22,2002,2,2,162,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
42,Ayman Azhil,ma MAR,MF,de Dortmund,23,2001,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Adam Aznou,ma MAR,DF,de Bayern Munich,18,2006,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,César Azpilicueta,es ESP,DF,es Atlético Madrid,34,1989,2,1,113,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
45,Isaac Babadi,nl NED,MF,nl PSV,19,2005,4,1,105,1.2,0,1,1,0,0,0,2,0,0,0.86,0.86,0,0.86,Matches
46,Alexander Bah,dk DEN,DF,pt Benfica,26,1997,7,6,498,5.5,1,1,2,1,0,0,2,0,0.18,0.18,0.36,0.18,0.36,Matches
47,Samson Baidoo,at AUT,DF,at RB Salzburg,20,2004,7,7,616,6.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
48,Leon Bailey,jm JAM,MF,eng Aston Villa,26,1997,8,6,526,5.8,1,1,2,1,0,0,1,0,0.17,0.17,0.34,0.17,0.34,Matches
49,Stefan Bajcetic,es ESP,MF,at RB Salzburg,19,2004,6,1,205,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
50,Esmir Bajraktarevic,ba BIH,MF,nl PSV,19,2005,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Kenan Bajrić,si SVN,"DF,MF",sk Slovan Bratislava,29,1994,8,8,713,7.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
52,Johan Bakayoko,be BEL,"FW,MF",nl PSV,21,2003,12,9,858,9.5,2,1,3,2,0,0,1,0,0.21,0.1,0.31,0.21,0.31,Matches
53,Mitchel Bakker,nl NED,"MF,DF",fr Lille,24,2000,8,5,420,4.7,1,1,2,1,0,0,1,0,0.21,0.21,0.43,0.21,0.43,Matches
54,Alejandro Balde,es ESP,DF,es Barcelona,20,2003,10,9,803,8.9,0,2,2,0,0,0,1,0,0,0.22,0.22,0,0.22,Matches
55,David von Ballmoos,ch SUI,GK,ch Young Boys,29,1994,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
56,Folarin Balogun,us USA,FW,fr Monaco,23,2001,3,0,94,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
57,Bradley Barcola,fr FRA,FW,fr Paris Saint-Germain,21,2002,17,14,"1,087",12.1,3,4,7,3,0,0,1,0,0.25,0.33,0.58,0.25,0.58,Matches
58,Nicolò Barella,it ITA,MF,it Inter,27,1997,13,11,992,11,0,2,2,0,0,0,2,0,0,0.18,0.18,0,0.18,Matches
59,Ross Barkley,eng ENG,MF,eng Aston Villa,30,1993,6,0,103,1.1,1,0,1,1,0,0,1,0,0.87,0,0.87,0.87,0.87,Matches
60,Leandro Barreiro Martins,lu LUX,MF,pt Benfica,24,2000,9,2,267,3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
61,Pablo Barrios,es ESP,MF,es Atlético Madrid,21,2003,6,6,431,4.8,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
62,Tigran Barseghyan,am ARM,"MF,FW",sk Slovan Bratislava,30,1993,8,7,549,6.1,1,2,3,1,0,0,2,0,0.16,0.33,0.49,0.16,0.49,Matches
63,Davide Bartesaghi,it ITA,MF,it Milan,18,2005,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
64,Alessandro Bastoni,it ITA,DF,it Inter,25,1999,14,12,"1,075",11.9,0,1,1,0,0,0,3,0,0,0.08,0.08,0,0.08,Matches
65,Martin Baturina,hr CRO,"MF,FW",hr Dinamo Zagreb,21,2003,8,8,619,6.9,2,1,3,2,0,0,2,0,0.29,0.15,0.44,0.29,0.44,Matches
66,Christoph Baumgartner,at AUT,MF,de RB Leipzig,24,1999,8,6,480,5.3,2,0,2,2,0,0,2,0,0.37,0,0.37,0.37,0.37,Matches
67,Donny van de Beek,nl NED,"MF,FW",es Girona,27,1997,7,6,448,5,1,0,1,1,0,0,1,0,0.2,0,0.2,0.2,0.2,Matches
68,Thomas Beelen,nl NED,"DF,MF",nl Feyenoord,23,2001,12,8,829,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
69,Maximilian Beier,de GER,"MF,FW",de Dortmund,21,2002,12,6,616,6.8,1,0,1,1,0,0,2,0,0.15,0,0.15,0.15,0.15,Matches
70,Raoul Bellanova,it ITA,MF,it Atalanta,24,2000,8,6,463,5.1,1,0,1,1,0,0,1,0,0.19,0,0.19,0.19,0.19,Matches
71,Jude Bellingham,eng ENG,MF,es Real Madrid,21,2003,13,13,"1,131",12.6,3,3,6,3,0,0,3,0,0.24,0.24,0.48,0.24,0.48,Matches
72,Jeanuël Belocian,fr FRA,DF,de Leverkusen,19,2005,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
73,Andrea Belotti,it ITA,FW,pt Benfica,30,1993,4,0,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
74,Eliesse Ben Seghir,ma MAR,MF,fr Monaco,19,2005,10,7,545,6.1,2,0,2,2,0,0,1,0,0.33,0,0.33,0.33,0.33,Matches
75,Walter Benítez,ar ARG,GK,nl PSV,31,1993,11,11,"1,020",11.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Loris Benito,ch SUI,DF,ch Young Boys,32,1992,5,4,326,3.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
77,Ismaël Bennacer,dz ALG,MF,it Milan,26,1997,1,1,74,0.8,0,1,1,0,0,0,0,0,0,1.22,1.22,0,1.22,Matches
78,Ramy Bensebaini,dz ALG,DF,de Dortmund,29,1995,12,8,745,8.3,2,1,3,2,0,0,4,0,0.24,0.12,0.36,0.24,0.36,Matches
79,Lucas Beraldo,br BRA,DF,fr Paris Saint-Germain,20,2003,4,1,142,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
80,Thomas Berenbruch,it ITA,MF,it Inter,19,2005,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Paulo Bernardo,pt POR,MF,sct Celtic,22,2002,8,2,241,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
82,Maxime Bernauer,fr FRA,DF,hr Dinamo Zagreb,26,1998,6,5,466,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
83,Jan-Niklas Beste,de GER,"DF,MF",pt Benfica,25,1999,5,0,113,1.3,0,1,1,0,0,0,0,0,0,0.8,0.8,0,0.8,Matches
84,Sam Beukema,nl NED,DF,it Bologna,25,1998,8,8,646,7.2,0,1,1,0,0,0,3,0,0,0.14,0.14,0,0.14,Matches
85,Mads Bidstrup,dk DEN,MF,at RB Salzburg,23,2001,5,4,331,3.7,1,0,1,1,0,0,1,0,0.27,0,0.27,0.27,0.27,Matches
86,Biel,br BRA,MF,pt Sporting CP,23,2001,2,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
87,Mika Biereth,dk DEN,FW,at Sturm Graz,21,2003,6,6,470,5.2,2,0,2,2,0,0,0,0,0.38,0,0.38,0.38,0.38,Matches
88,Mika Biereth,dk DEN,FW,fr Monaco,21,2003,2,1,82,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
